id_zcosmos,zpec,cc,alpha,delta,mag_sel,id_photzi25,fuv_photzi25,nuv_photzi25,u_photzi25,eu_photzi25,b_photzi25,eb_photzi25,v_photzi25,ev_photzi25,g_photzi25,eg_photzi25,r_photzi25,er_photzi25,i_photzi25,ei_photzi25,z_photzi25,ez_photzi25,j_photzi25,ej_photzi25,k_photzi25,ek_photzi25,ic_photzi25,efuv_photzi25,enuv_photzi25,eic_photzi25,flag_maskb_photzi25,flag_maskv_photzi25,flag_maski_photzi25,flag_maskz_photzi25,flag_maskd_photzi25
847341,0.2684,4.5,149.838837,2.648466,21.62,1732363,23.1156044397387,22.8896044397387,23.15,0.027,22.654,0.024,22.224,0.017,22.677,0.021,22.167,0.016,22.024,0.015,21.92,0.018,22.133,0.03,21.572,0.037,22,0.072,0.035,0.065,0,0,0,0,0
847343,0.4063,4.5,149.838806,2.650944,21.37,1731914,23.5626044397387,22.9486044397387,23.338,0.029,22.88,0.027,22.318,0.017,22.952,0.024,22.074,0.016,21.877,0.014,21.629,0.015,21.532,0.021,21.215,0.028,21.826,0.082,0.038,0.056,0,0,0,0,0
847346,0.4682,4.5,149.838623,2.763261,19.87,1715408,26.3066044397387,24.2156044397387,23.551,0.035,22.574,0.023,21.696,0.013,22.55,0.019,21.02,0.01,20.371,0.01,19.936,0.01,19.497,0.01,18.668,0.01,20.35,0.619,0.085,0.02,0,0,0,0,0
847350,0.2597,4.5,149.837677,2.67285,20.62,1727305,24.1156044397387,23.5856044397387,22.99,0.025,22.243,0.02,21.557,0.012,22.2,0.017,21.353,0.011,20.93,0.01,20.671,0.01,20.48,0.01,19.939,0.01,20.908,0.111,0.083,0.028,0,0,0,0,0
847354,0.3478,3.5,149.837341,2.709776,22.02,1723432,24.2636044397387,23.7846044397387,23.884,0.04,23.434,0.035,22.784,0.022,23.418,0.03,22.597,0.02,22.307,0.017,21.982,0.019,21.728,0.022,21.392,0.034,22.314,0.094,0.069,0.1,0,0,0,0,0
847356,0.8936,3.5,149.83725,2.647094,21.86,1732523,27.1406044397387,24.7186044397387,23.935,0.04,23.486,0.037,23.184,0.027,23.588,0.034,22.986,0.025,22.225,0.017,21.801,0.017,21.568,0.019,20.628,0.017,22.242,1.005,0.151,0.081,0,0,0,0,0
847357,0.2598,2.5,149.836838,2.677153,19.94,1727313,25.5436044397387,27.4646044397387,23.491,0.032,22.319,0.021,21.212,0.01,22.15,0.016,20.823,0.01,20.477,0.01,20.029,0.01,19.85,0.01,19.177,0.01,20.346,1.044,5.539,0.018,0,0,0,0,0
847358,1.0037,3.5,149.836777,2.691789,21.84,1724665,-99,24.2476044397387,23.638,0.035,23.177,0.031,22.896,0.023,23.345,0.029,22.723,0.021,22.091,0.016,21.621,0.015,21.416,0.017,20.258,0.013,22.062,-99,0.119,0.08,0,0,0,0,0
847361,0.4695,2.5,149.836044,2.759575,22.26,1716011,25.6626044397387,24.8816044397387,24.437,0.058,23.916,0.044,23.466,0.031,24.073,0.042,22.918,0.023,22.452,0.019,22.115,0.02,22.046,0.021,21.14,0.026,22.46,0.261,0.185,0.131,0,0,0,0,0
847365,0.0773,9.5,149.835175,2.773936,18.55,1713281,20.9646044397387,20.8046044397387,22.097,0.016,21.15,0.012,20.78,0.01,21.215,0.01,20.637,0.01,20.366,0.01,20.176,0.01,20.284,0.01,20.02,0.01,20.344,0.027,0.015,0.02,0,0,0,0,0
