ds_spectra.NUM,ds_spectra.ID_IAU,ds_spectra.ALPHA,ds_spectra.DELTA,ds_spectra.Z,ds_spectra.ZFLAGS,ds_spectra.MAGI,ds_cfh12k.MAG_AUTO_U,ds_cfh12k.MAGERR_AUTO_U,ds_cfh12k.MAG_AUTO_B,ds_cfh12k.MAGERR_AUTO_B,ds_cfh12k.MAG_AUTO_V,ds_cfh12k.MAGERR_AUTO_V,ds_cfh12k.MAG_AUTO_R,ds_cfh12k.MAGERR_AUTO_R,ds_cfh12k.MAG_AUTO_I,ds_cfh12k.MAGERR_AUTO_I,MAG_AUTO_U,MAGERR_AUTO_U,MAG_AUTO_G,MAGERR_AUTO_G,MAG_AUTO_R,MAGERR_AUTO_R,MAG_AUTO_I,MAGERR_AUTO_I,MAG_AUTO_Z,MAGERR_AUTO_Z
020090229,VVDS-J022814.46-044841.6,37.0602864,-4.8115647,0.9124,4,22.5333,-99.9,-99.9,24.574,0.1084,23.9279,0.0744,23.6395,0.0681,22.5333,0.0344,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
020090383,VVDS-J022811.22-044859.6,37.0467504,-4.8165558,0.2293,4,19.2307,-99.9,-99.9,20.8578,0.0168,19.9333,0.0094,19.6769,0.0083,19.2307,0.0057,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
020090399,VVDS-J022630.92-044841.0,36.6288708,-4.8114107,0.7864,3,22.5562,-99.9,-99.9,26.1698,0.3316,24.5229,0.1077,23.5876,0.0627,22.5562,0.0354,26.411675,0.142900,24.705625,0.019900,23.664425,0.010200,22.530625,0.010000,22.127450,0.010000
020090450,VVDS-J022632.97-044846.4,36.6374101,-4.8129022,0.3948,4,21.4868,-99.9,-99.9,22.8263,0.0451,21.9549,0.0265,21.6991,0.0242,21.4868,0.0245,22.878998,0.010000,22.306366,0.010000,21.602722,0.010000,21.412342,0.010000,21.313346,0.010000
020090500,VVDS-J022605.23-044847.2,36.5217944,-4.8131329,0.0000,4,21.3504,-99.9,-99.9,20.7814,0.0126,20.7562,0.0095,21.1322,0.0112,21.3504,0.0166,21.010111,0.010000,20.673415,0.010000,20.992526,0.010000,21.268498,0.010000,21.474374,0.010000
020090562,VVDS-J022634.54-044845.2,36.6439213,-4.8125637,0.0000,4,19.7256,-99.9,-99.9,22.4165,0.0336,21.2317,0.0167,20.5612,0.0122,19.7256,0.0069,23.343739,0.010000,21.730490,0.010000,20.662457,0.010000,19.871139,0.010000,19.542450,0.010000
020090608,VVDS-J022816.83-044838.5,37.0701517,-4.8107114,0.9114,4,22.0344,-99.9,-99.9,23.6595,0.0673,23.036,0.0458,22.6742,0.0394,22.0344,0.0395,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
020090728,VVDS-J022517.51-044841.5,36.3229945,-4.8115393,0.4016,4,22.3323,-99.9,-99.9,23.745,0.0516,22.8469,0.0357,22.5454,0.0327,22.3323,0.0404,23.778454,0.013900,23.148125,0.010000,22.525786,0.010000,22.279266,0.010000,22.140656,0.010000
020090851,VVDS-J022636.05-044838.7,36.6502239,-4.8107623,0.0000,3,21.227,-99.9,-99.9,23.0774,0.0458,22.0899,0.0251,21.663,0.0203,21.227,0.0151,24.154780,0.015400,22.469014,0.010000,21.680593,0.010000,21.281636,0.010000,21.113655,0.010000
020090867,VVDS-J022656.38-044841.7,36.7349398,-4.8116056,0.8854,3,21.6811,-99.9,-99.9,23.4912,0.0661,22.9186,0.0477,22.5581,0.043,21.6811,0.0288,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
